time,tavg,tmin,tmax,prcp
1/1/2019,18.2,9.5,27.4,0
1/2/2019,18.5,9.8,27,0
1/3/2019,19.6,11.2,29,0
1/4/2019,19.6,12.4,27.4,0
1/5/2019,18.6,10.6,27,0
1/6/2019,19.1,10.2,28,0
1/7/2019,20.2,10.9,30.4,0
1/8/2019,20.7,13,29.6,0
1/9/2019,20,12.4,27.6,0
1/10/2019,19.9,12.8,27.8,0
1/11/2019,20.2,14,27,0
1/12/2019,19.9,13.5,27,0
1/13/2019,19.9,12.4,28,0
1/14/2019,21.5,13.4,30,0
1/15/2019,20.2,22.6,32.4,0
1/16/2019,19,13,26,0
1/17/2019,19.9,11.5,28.4,0
1/18/2019,21.3,13.5,29.2,0
1/19/2019,20,16,29,0
1/20/2019,20.6,14.6,28,0
1/21/2019,21.7,12.8,30.4,0
1/22/2019,22.7,18.8,30.6,0
1/23/2019,21.6,17,30.6,0
1/24/2019,22,17.8,30,0
1/25/2019,22.2,15,30,0
1/26/2019,22.4,15.2,30,0
1/27/2019,20.6,17.1,24.8,0
1/28/2019,20.9,18.6,25.4,0
1/29/2019,20.2,17,26.2,0
1/30/2019,18.7,10.8,26.6,0
1/31/2019,18.7,10.4,28,0
2/1/2019,19.9,9.9,29,0
2/2/2019,20.4,11.7,32.4,0
2/3/2019,21.6,12.2,31.6,0
2/4/2019,22.4,13.3,31,0
2/5/2019,22.7,13.8,32.4,0
2/6/2019,23.6,13.1,33.6,0
2/7/2019,24.2,14.5,33.8,0
2/8/2019,24.3,17.6,31.2,0
2/9/2019,24.7,19.4,30.8,0
2/10/2019,22.2,22.6,32.4,0
2/11/2019,21.3,13.4,29,0
2/12/2019,21.8,13.8,29.2,0
2/13/2019,22.9,14.3,31,0
2/14/2019,24.2,15.8,34,0
2/15/2019,25.1,19,32.4,0
2/16/2019,23,17.7,32.4,1
2/17/2019,25.3,17.9,32,0.3
2/18/2019,24.6,17.9,33,0
2/19/2019,26.2,18.8,33.8,0
2/20/2019,27.3,20.4,34,0
2/21/2019,27.3,22.5,35,0
2/22/2019,28.3,19.7,38.8,0
2/23/2019,29.8,21.6,38.2,0
2/24/2019,28.1,22.9,36.6,0
2/25/2019,26.4,22,31.4,0.3
2/26/2019,27,23.3,32,0
2/27/2019,25.7,24,32,0
2/28/2019,24.6,18.2,32,22.1
3/1/2019,23.5,21,29,0
3/2/2019,24.2,18,30.8,0
3/3/2019,26.1,19.6,32.4,0
3/4/2019,27.3,22.5,33.6,0
3/5/2019,27.7,24,33,0.3
3/6/2019,27.3,24.4,33,1
3/7/2019,26.1,23,32,0
3/8/2019,25.9,20,32.2,0
3/9/2019,27,20.7,34.6,0
3/10/2019,27.9,23.3,33,0
3/11/2019,29.1,24.2,35,0
3/12/2019,29.1,23.6,36.4,0
3/13/2019,30.2,24.8,37.2,0
3/14/2019,29.6,25.2,36,0
3/15/2019,28.1,22.6,32.4,0
3/16/2019,27.6,20.9,33,2
3/17/2019,28.2,23.2,36.6,0
3/18/2019,26.2,21,33.2,0
3/19/2019,28,21.4,34.4,0
3/20/2019,28.8,22.8,36.2,0
3/21/2019,28.6,23.4,36,0
3/22/2019,29.2,24,36.8,0
3/23/2019,29.2,24.6,37.2,0
3/24/2019,29.8,21.9,38,0
3/25/2019,29.9,24.8,38,0
3/26/2019,29.4,23.1,37,0
3/27/2019,29,24.6,35,0
3/28/2019,29.4,24.9,37,0
3/29/2019,29.2,25,36,0
3/30/2019,30.2,24.8,37.2,0
3/31/2019,30.4,26.5,32.4,0
4/1/2019,29.7,23.2,36,0
4/2/2019,30.1,24.4,37.4,0
4/3/2019,29.7,25.8,35.8,0
4/4/2019,29.4,25.7,34.8,0
4/5/2019,31.3,25.8,32.4,0
4/6/2019,29.5,22.6,32.4,0
4/7/2019,29.1,22.8,32.4,0
4/8/2019,28.1,25.5,32.2,0.8
4/9/2019,29.7,25,36.2,0.8
4/10/2019,29.8,23.9,35.8,0
4/11/2019,29.9,25.8,38,0
4/12/2019,30.6,23.3,39.4,0
4/13/2019,30.4,24.8,37.6,0
4/14/2019,31.2,26.8,39,0
4/15/2019,30.8,26.3,38.2,0
4/16/2019,32.4,27,43.2,0
4/17/2019,31.4,24.8,41.4,0
4/18/2019,30.2,24.2,38,0
4/19/2019,29.7,26,37.2,0.3
4/20/2019,29.2,22.1,37.2,0.5
4/21/2019,28.2,22.6,32.4,0
4/22/2019,27.4,20.4,32.4,13
4/23/2019,29.1,20,36,8.9
4/24/2019,30.2,25.1,37,0
4/25/2019,30.6,25.6,36.6,0
4/26/2019,31.2,26.6,37,0
